periode_data,id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
202007,3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,183,0,1,3,179,0,0,0,1,0,1,196,20,176
202007,3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,306,9,88,1,208,0,0,0,9,0,9,150,8,142
202007,3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,119,9,0,2,108,0,0,0,7,0,7,196,2,194
202007,3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,202,5,5,4,188,0,0,0,18,5,13,922,85,837
202007,3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,150,16,4,6,124,1,0,1,3,0,3,547,36,511
202007,3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,106,5,13,1,87,0,0,0,4,0,4,516,40,476
202007,3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,248,10,5,1,232,0,0,0,7,0,7,775,34,741
202007,3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,420,10,10,2,398,0,0,0,7,0,7,999,71,928
202007,3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,203,5,8,2,188,0,0,0,7,3,4,222,34,188
202007,3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,71,2,0,0,69,0,0,0,0,0,0,67,6,61
202007,3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,81,1,8,0,72,0,0,0,4,2,2,220,62,158
202007,3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,83,3,3,2,75,0,0,0,3,0,3,234,22,212
202007,3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,86,0,4,1,81,0,0,0,0,0,0,220,19,201
202007,3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,88,4,9,2,73,0,0,0,13,0,13,272,21,251
202007,3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,92,1,2,3,86,1,0,1,13,0,13,207,12,195
202007,3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,361,5,46,2,308,1,0,1,7,0,7,647,72,575
202007,3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,79,1,4,3,71,0,0,0,0,0,0,147,26,121
202007,3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,183,10,14,0,159,0,0,0,2,0,2,230,12,218
202007,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11126,0,0,1626,9500,587,586,1,116,0,116,6179,1,6178
202007,3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,145,6,11,0,128,1,1,0,1,0,1,324,112,212
202007,3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,63,1,0,1,61,0,0,0,2,0,2,74,11,63
202007,3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,91,1,0,2,88,0,0,0,18,0,18,376,7,369
202007,3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,111,0,1,1,109,0,0,0,2,0,2,146,26,120
